iter	RMSE
0	366712939.9
1	339848569
2	314387258.9
3	290872584.7
4	269288112.9
5	249855670.6
6	232009198.8
7	215321396.3
8	199781810.4
9	185552934.4
10	172726718.2
11	160715230.9
12	150340826.6
13	140207534.1
14	130445719.3
15	121482224.5
16	113397773
17	105405500.1
18	98545791.38
19	92054632.9
20	85974214.75
21	80496196.43
22	75153788.54
23	70104351.59
24	65501738.98
25	61495627.93
26	57968854.16
27	54221919.48
28	50752970.38
29	47822286.63
30	44930734.51
31	42336284.1
32	39791511.23
33	37503741.22
34	35508989.81
35	33628134.61
36	31909307.39
37	30522792
38	29008857.33
39	27602002.52
40	26300549.03
41	25252117.65
42	24252018.53
43	23325433.61
44	22508454.98
45	21757636.99
46	20984995.72
47	20364425.65
48	19765385.26
49	19227196.57
50	18768955.15
51	18326353.82
52	17952994.43
53	17594099.28
54	17276003.9
55	16985423.93
56	16712664.84
57	16444693.84
58	16209514.89
59	16041878.09
60	15829899.2
61	15686035.23
62	15503267.75
63	15373916.23
64	15223934.33
65	15095924.2
66	14972649.63
67	14819925.33
68	14733788.18
69	14620198.33
70	14536649.99
71	14444263.26
72	14340753.72
73	14251195.5
74	14123795.33
75	14042109.82
76	13879971.82
77	13806693.56
78	13741811.63
79	13672574.15
80	13580295.61
81	13469810.69
82	13361324.52
83	13299005.5
84	13239304.94
85	13160889.97
86	13021320.73
87	12804724.7
88	12731277.04
89	12674679.68
90	12634736.28
91	12580155.63
92	12473909.09
93	12425647.33
94	12355282.04
95	12286333.16
96	12189184.55
97	12085363.56
98	12034482
99	11941510.11
100	11896123.06
101	11829759.64
102	11782969.99
103	11730359.93
104	11662187.23
105	11599545.05
106	11522124.69
107	11456103.29
108	11408057.14
109	11359099.96
110	11316330.85
111	11278491.28
112	11164472.34
113	11106494.37
114	11064874.96
115	10987532.91
116	10942526.83
117	10885064.56
118	10854956.3
119	10813187.22
120	10750787.75
121	10654311.72
122	10597956.41
123	10561922.83
124	10526863.07
125	10503583.79
126	10463676.69
127	10397487.66
128	10309233.11
129	10237116.12
130	10188047.07
131	10140971.19
132	10106169.1
133	10075758.59
134	10003943.11
135	9925569.369
136	9884715.053
137	9811297.357
138	9767509.879
139	9734456.127
140	9697650.364
141	9678208.432
142	9632111.071
143	9595403.158
144	9561240.1
145	9535803.269
146	9483134.459
147	9450140.227
148	9424518.792
149	9396307.561
150	9352117.149
151	9276800.724
152	9241933.787
153	9215908.154
154	9151932.784
155	9030366.141
156	9010099.272
157	8952864.316
158	8880668.378
159	8832249.017
160	8797277.124
161	8734794.041
162	8684614.639
163	8658465.134
164	8626256.302
165	8580019.818
166	8537382.22
167	8499116.373
168	8475158.346
169	8419158.944
170	8387136.386
171	8363257.427
172	8314802.124
173	8287791.162
174	8263370.968
175	8225835.049
176	8203238.581
177	8189533.042
178	8166066.922
179	8152999.74
180	8115873.583
181	8088136.114
182	8055381.786
183	8028076.173
184	8015560.592
185	7979466.492
186	7958484.337
187	7938331.154
188	7886635.023
189	7847327.518
190	7801709.543
191	7772263.453
192	7734681.209
193	7716094.891
194	7695726.677
195	7676828.671
196	7666099.809
197	7642446.986
198	7615361.646
199	7588312.114
200	7557332.718
201	7532900.034
202	7520620.364
203	7503371.281
204	7485945.066
205	7440679.942
206	7410173.266
207	7371627.505
208	7346884.775
209	7302024.933
210	7289246.344
211	7274252.418
212	7258518.855
213	7227920.701
214	7188568.263
215	7158234.101
216	7114658.209
217	7084459.611
218	7070390.582
219	7032543.308
220	7006980.115
221	6992196.769
222	6962000.415
223	6947846.933
224	6930976.085
225	6917104.46
226	6889026.074
227	6852797.13
228	6838737.85
229	6811988.45
230	6798239.544
231	6761123.065
232	6752821.282
233	6742968.602
234	6716924.338
235	6704138.342
236	6670502.132
237	6657211.863
238	6621884.079
239	6591316.156
240	6570710.79
241	6538132.793
242	6518300.133
243	6506266.819
244	6488161.494
245	6464305.506
246	6436697.807
247	6416072.584
248	6406255.318
249	6381067.542
