iter	Passed	Remaining
0	2	1807
1	7	2148
2	9	1929
3	11	1794
4	14	1701
5	16	1637
6	18	1589
7	21	1643
8	24	1631
9	26	1599
10	28	1580
11	31	1567
12	33	1559
13	36	1580
14	40	1597
15	42	1590
16	45	1583
17	47	1577
18	50	1572
19	54	1605
20	57	1606
21	59	1601
22	62	1596
23	64	1591
24	68	1601
25	71	1604
26	73	1597
27	76	1592
28	78	1587
29	81	1582
30	84	1584
31	87	1577
32	89	1572
33	92	1567
34	94	1562
35	97	1556
36	99	1551
37	102	1546
38	104	1541
39	107	1534
40	109	1529
41	112	1525
42	114	1519
43	117	1515
44	120	1512
45	122	1508
46	125	1504
47	127	1501
48	130	1497
49	132	1494
50	137	1514
51	140	1516
52	143	1517
53	146	1518
54	150	1520
55	153	1521
56	156	1525
57	159	1527
58	162	1527
59	166	1530
60	169	1532
61	173	1534
62	176	1535
63	179	1536
64	182	1539
65	186	1539
66	189	1539
67	192	1540
68	195	1541
69	199	1543
70	202	1543
71	205	1544
72	209	1543
73	212	1542
74	215	1543
75	219	1545
76	223	1553
77	226	1553
78	230	1553
79	233	1552
80	236	1551
81	239	1550
82	243	1549
83	246	1550
84	250	1552
85	253	1550
86	256	1549
87	259	1547
88	263	1549
89	266	1547
90	269	1545
91	273	1543
92	276	1541
93	279	1539
94	282	1538
95	285	1536
96	288	1533
97	292	1532
98	295	1530
99	298	1528
100	301	1525
101	304	1522
102	307	1520
103	312	1526
104	317	1531
105	320	1529
106	323	1527
107	326	1525
108	331	1527
109	334	1525
110	337	1523
111	340	1519
112	344	1521
113	348	1521
114	352	1523
115	356	1524
116	361	1527
117	365	1529
118	369	1531
119	373	1533
120	378	1535
121	382	1538
122	387	1538
123	391	1541
124	396	1545
125	401	1547
126	405	1547
127	408	1542
128	410	1537
129	413	1532
130	415	1527
131	418	1522
132	421	1516
133	423	1511
134	426	1507
135	429	1502
136	431	1497
137	434	1492
138	437	1487
139	439	1482
140	442	1477
141	444	1472
142	447	1467
143	449	1462
144	452	1458
145	455	1454
146	458	1449
147	460	1444
148	463	1439
149	465	1434
150	468	1430
151	470	1425
152	473	1420
153	476	1415
154	478	1411
155	481	1406
156	483	1402
157	486	1397
158	488	1393
159	491	1388
160	493	1383
161	496	1379
162	499	1375
163	501	1370
164	504	1365
165	506	1361
166	509	1357
167	511	1352
168	514	1348
169	517	1344
170	519	1339
171	522	1336
172	525	1332
173	527	1328
174	530	1323
175	532	1319
176	535	1315
177	537	1310
178	540	1306
179	542	1302
180	545	1298
181	547	1294
182	550	1290
183	552	1286
